ts,link,bw,lat,jit,loss,alqi,action,ratio
2026-09-06T06:01:35,ISP1-FO,59.35,20.15,4.34,0.32,100.0,UPDATE,"(1, 0)"
2026-09-06T06:01:35,ISP2-VSAT,9.35,602.76,31.61,2.74,10.91,UPDATE,"(1, 0)"
2026-09-06T06:01:55,ISP1-FO,46.59,17.03,5.7,0.28,100.0,HOLD,"(1, 0)"
2026-09-06T06:01:55,ISP2-VSAT,10.84,558.64,37.23,1.59,12.22,HOLD,"(1, 0)"
2026-09-06T14:29:58,ISP1-FO,49.56,24.29,3.02,0.06,100.0,UPDATE,"(1, 0)"
2026-09-06T14:29:58,ISP2-VSAT,9.79,637.91,37.59,2.02,9.86,UPDATE,"(1, 0)"
2026-09-06T14:33:18,ISP1-FO,40.39,28.34,2.85,0.23,100.0,UPDATE,"(1, 0)"
2026-09-06T14:33:18,ISP2-VSAT,10.12,640.08,23.69,1.18,15.8,UPDATE,"(1, 0)"
2026-09-06T14:38:17,ISP1-FO,56.44,28.15,4.89,0.86,100.0,UPDATE,"(7, 1)"
2026-09-06T14:38:17,ISP2-VSAT,8.74,556.44,22.87,1.43,22.17,UPDATE,"(7, 1)"
